facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Mwingi Nursing Home,12627,Nursing Homes,-0.94145,38.06302,Kitui,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Usueni Dispensary,12832,Dispensary,-0.15792,38.1984,Kitui,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ngomoni Dispensary,18510,Dispensary,-1.66854,37.89689,Kitui,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Riosoti Dispensary,28580,Dispensary,-0.77669,34.93133,Kisii,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Edelpert Medical Center,28460,Medical Clinic,-2.331374,37.875214,Makueni,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Siloams Medicare Dental \u0026 Dignostic Limited,28577,Medical Clinic,-0.331429,35.941961,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Midland Health Centre,28557,Basic Health Centre,-0.54081101,34.754272,Homa Bay,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ziontwo Medical Clinic,25130,Medical Clinic,0.949621,36.765251,Samburu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kileleshwa Medical Plaza,28560,Medical Center,-1.258924,36.7715503,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Mercillin Afya Centre,13088,Basic Health Centre,-1.31299,36.7844,Nairobi,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
