facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Elizabeth Glazer Private Clinic,CP060387,Clinic,-9.7,33.27,North Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Embangweni,MZ160388,Hospital,-12.136617,33.4766982,North Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Emfeni,MZ160389,Health Centre,-12.59406,33.60976,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Emsizini,MZ160390,Health Centre,-11.44435,33.82485,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Endindeni,MZ160391,Health Centre,-11.75818,33.5561,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Engucwini,MZ160392,Health Centre,-11.19761,33.82314,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Enukweni,MZ160393,Health Centre,-11.18005,33.88592,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Escom,LL040394,Clinic,-13.99195,33.77192,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Escom,MZ160395,Clinic,-11.4629863,34.0228251,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
esparanza,MU210396,Clinic,-16.03395,35.50475,South West Zone,Non-functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Euthini,MZ160397,Hospital,-11.4583127,33.4195575,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
F and M Private Clinic,NK100399,Clinic,-13.084364,34.304863,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Family Choice Private Clinic,CP060400,Clinic,-9.7016717,33.2702792,North Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Family Health clinic,BT240401,Clinic,-15.802603,35.051349,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Family healthcare Private clinic,LL040402,Clinic,-13.98652,33.79807,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FPAM,DA020403,Dispensary,-13.65834,33.93289,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
FPAM,NT120405,Clinic,-14.80935,34.62561,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fancy Private Clinic,NT080406,Clinic,-13.35325,33.9191,Central East Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fanuel,MC010407,Dispensary,-13.304354,33.036303,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Fomo,MU210409,Clinic,-16.00603,35.48167,South West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
