adm1,adm2,year,month,alls_ts,dhis2_ts,raw_positive_u5,raw_positive_all_ages,imput_u5,imput_all_ages,pred_counts_u5,pred_counts_all_ages,pop_u5,pop_total,alls_ts_pop_u5,alls_ts_pop_total,dhis2_ts_pop_u5,dhis2_ts_pop_total,pred_inc_u5,pred_inc_all_ages,pfpr_rdt
Oueme,Porto-Novo,2024,6,0.3413764536380768,0.257651150226593,140,1431,140,1431,276.170959472656,1923.61572708554,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.0044378357968320615,0.005642078034280242,0.110075254994135
Oueme,Porto-Novo,2024,7,0.3413764536380768,0.257651150226593,231,1828,231,1828,413.574676513672,2417.02762958193,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.006645798340275296,0.007089284156443285,0.13694504714138
Oueme,Porto-Novo,2024,8,0.3413764536380768,0.257651150226593,187,1500,187,1500,431.574462890625,2255.30799621655,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.006935039817625058,0.006614950962825092,0.151951443686954
Oueme,Porto-Novo,2024,9,0.3413764536380768,0.257651150226593,146,1153,146,1153,367.816009521484,1842.36969493788,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.005910494922490141,0.005403778644803295,0.149892220566137
Oueme,Porto-Novo,2024,10,0.3413764536380768,0.257651150226593,237,1175,243.146156250977,1190.596418203374,284.714660644531,1314.55726221604,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.004575125912238772,0.003855673744771207,0.134647088309638
Oueme,Porto-Novo,2024,11,0.3413764536380768,0.257651150226593,182,1143,182,1144.966025807972,230.80517578125,969.243543315819,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.003708845684325336,0.00284284830312523,0.112714830177558
Oueme,Porto-Novo,2024,12,0.3413764536380768,0.257651150226593,156,1184,156,1184,258.628021240234,1327.78571806012,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.004155935486176246,0.003894473583582262,0.100684015409388
Oueme,Aguegues,2021,1,0.38773271441459656,0.24307100474834442,43,265,43,265,38.8508071899414,200.801546375413,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.003907352628979322,0.003589716228242215,0.413806263182444
Oueme,Aguegues,2021,2,0.38773271441459656,0.24307100474834442,35,180,35,180,20.9878444671631,66.9222716302425,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.0021108160984776325,0.0011963651119139495,0.344647671553515
Oueme,Aguegues,2021,3,0.38773271441459656,0.24307100474834442,37,227,37,227,19.7192554473877,87.5713768927191,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.0019832299554850344,0.0015655078281797544,0.257764046594836
Oueme,Aguegues,2021,4,0.38773271441459656,0.24307100474834442,48,354,48,354,33.0925140380859,218.863849072938,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.003328222270751876,0.0039126148427354925,0.271516844179794
Oueme,Aguegues,2021,5,0.38773271441459656,0.24307100474834442,74,341,74,341,34.6260948181152,217.806497282005,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.003482459500967032,0.003893712633308395,0.322504162220969
Oueme,Aguegues,2021,6,0.38773271441459656,0.24307100474834442,78,497,78,497,43.1448135375977,255.155479361861,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.004339214878567605,0.004561397964922969,0.383782726605591
Oueme,Aguegues,2021,7,0.38773271441459656,0.24307100474834442,27,406,27,406,46.164119720459,240.647592447045,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.0046428763673397365,0.004302041410973668,0.436981134057021
Oueme,Aguegues,2021,8,0.38773271441459656,0.24307100474834442,31,308,31,308,45.9905853271484,225.397628936075,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.004625423446359087,0.004029418801817637,0.458788498554125
Oueme,Aguegues,2021,9,0.38773271441459656,0.24307100474834442,36,139,36,139,34.6122932434082,149.289248197655,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.0034810714315003724,0.002668834212836623,0.422217416512751
Oueme,Aguegues,2021,10,0.38773271441459656,0.24307100474834442,34,178,34,178,30.3786506652832,129.417447194656,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.003055280163460042,0.0023135873144312633,0.356122171050542
Oueme,Aguegues,2021,11,0.38773271441459656,0.24307100474834442,10,185,10,185,47.0983734130859,254.548298998639,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.004736837313998381,0.004550543440928153,0.374045609469144
Oueme,Aguegues,2021,12,0.38773271441459656,0.24307100474834442,26,205,26,205,32.3547554016113,176.265598143075,9943,55938,3855.2263794243336,21688.992578923702,2416.8550002127886,13596.90586361289,0.0032540234739627176,0.0031510886721562268,0.380281940713376
